MID,CATEGORY,SUB,MESSAGE,SEND_LOC
39198,안내,발생현황,[고창군청1] 우리군 인근지역에 코로나19 확진자 발생이 증가하고 있습니다. 군민들께서는 확진자 발생지역 방문을 자제하여 주시기 바랍니다. ,전라북도 고창군
39199,안내,개인방역수칙,"[고창군청2] 손씻기, 기침예절, 마스크 착용 등 방역수칙을 준수하여 코로나19로부터 청정한 고창 유지에 동참하여 주시기 바랍니다. ",전라북도 고창군
39200,안내,행정안내,"[울산광역시] 코로나19 예방을 위해 매주 수요일 오후 5시 「울산 시민 방역의 날」 운영. 내 주변, 생활공간부터 소독하여 생활 속 방역을 실천 바랍니다. ",울산광역시 전체
39202,안내,발생현황,[진도군청]최근 광주목포지역 코로나19 확산 중이나 현재 진도군은 확진자가 없습니다. 군민께서는 광주 목포지역 방문자제 및 마스크 착용 등 방역수칙을 준수바랍니다 ,전라남도 진도군
39206,안내,발생현황,[여수시청]마스크착용! 선택이 아닌 필수입니다.최근 광주ㆍ목포지역 무증상자로 인한 확진자가 늘고 있습니다. 외출 및 대중교통이용시 꼭 마스크착용을 생활화바랍니다. ,전라남도 여수시
39207,안내,개인방역수칙,"[강남구청] 다중시설·대중교통 이용 시 마스크 착용. 밀폐시설 소모임 자제해주세요. 자가격리자는 격리수칙 준수, 재검사 꼭 받아주세요 gangnam.go.kr ",서울특별시 강남구
39216,안내,발생현황,[전남도청] 대중교통·다중이용시설 이용 시 마스크 착용은 최고의 보호막입니다. (사례: 도민이 광주 확진자와 같은 병실에서 3일간 입원했는데도 음성판정 받음) ,전라남도 전체
39217,안내,발생현황,"[곡성군청]최근 광주지역에서 코로나19 다수 환자가 발생하고 있어, 군민께서는 당분간 광주지역 방문자제와 자녀들 방문도 자제, 상시 마스크 쓰기를 생활화 합시다. ",전라남도 곡성군
39218,안내,행정안내,"[전남도청]7.1부터 유흥주점·노래연습장 등 8개 고위험시설 출입시 QR코드 찍어야합니다.위반시 이용자 출입제지, 사업장 벌금형,집합금지 행정처분 받을수 있습니다 ",전라남도 전체
39219,안내,행정안내,[진도군청]오늘(7.1.)부터 코로나19 행정명령을 발령하오니 대중교통 이용시 마스크 착용을 의무화합니다. 마스크 미착용시 행정처분이 될 수 있으니 협조바랍니다. ,전라남도 진도군
39221,안내,발생현황,"[해남군청] 광주지역 확진자 급증으로 광주 출퇴근하신분은 식당 등 다중이용시설 이용을 자제하여 주시고, 외출시 마스크쓰기와 방역수칙을 준수하여 주시기 바랍니다. ",전라남도 해남군
39226,안내,행정안내,[광주광역시]우리시 방역대응체계를 사회적 거리두기 2단계로 격상했습니다 마스크착용 의무화 등 자세한 내용은 시블로그 확인바라며 https://c11.kr/gc5y ,광주광역시 전체
39227,안내,개인방역수칙,"[광주광역시]시민들께서는 불요불급한 외출과 모임, 다중이용시설 이용을 자제해 주시고 외출시에는 마스크착용, 손씻기, 거리두기 등 방역수칙을 지켜주시기 바랍니다. ",광주광역시 전체
39235,안내,행정안내,"[광주광역시]광주광역시교육청은 7.2~7.3까지 병설유치원, 초,중,고,특수학교 수업을 원격수업으로 진행하니, 학생들은 PC방, 학원 이용 및 외출 자제바랍니다 ",광주광역시 전체
39247,안내,발생현황,"[무안군청]최근 광주지역 코로나 감염세가 확산 중으로 가급적 타지역 방문, 소모임, 동호회, 집회 등 자제바라며 마스크 착용 등 생활 속 거리두기 실천바랍니다. ",전라남도 무안군
39248,안내,발생현황,"[강진군청]광주지역 코로나 감염세가 확산 중으로, 밀집·밀접·밀폐된 다중이용시설 및 소규모 모임을 자제하시고, 외출 시 마스크 착용을 의무화해 주시기 바랍니다. ",전라남도 강진군
39251,안내,발생현황,"[해남군청] 최근 광주, 전남에서 500여명의 확진자가 발생, 군민여러분께서는 광주 등 타지역 방문을 자제하고 마스크 쓰기와 손씻기 등 방역수칙을 준수바랍니다. ",전라남도 해남군
39252,안내,발생현황,"[해남군청] (정정)최근 광주,전남에서 50여명의 확진자 발생, 군민여러분께서는 광주 등 타지역 방문을 자제하고 마스크 쓰기와 손씻기 등 방역수칙을 준수 바랍니다 ",전라남도 해남군
39253,안내,발생현황,"[구례군청] 최근 광주,전남에서 50여명의 확진자 발생, 군민여러분께서는 광주 등 타지역 방문을 자제하고 마스크 착용과 손씻기 등 방역수칙을 준수 바랍니다. ",전라남도 구례군
39256,안내,발생현황,"[완도군청] 최근 광주, 전남에서 50여명의 확진자 발생, 군민여러분께서는 광주 등 타지역 방문을 자제하고 마스크 착용과 손씻기 등 방역수칙을 준수 바랍니다. ",전라남도 완도군
39257,안내,개인방역수칙,"[영주시청]음식점은 마스크 착용이 어렵고, 비말발생, 밀집·밀폐·밀접환경으로 코로나19 감염 위험성 높습니다. 마스크착용, 소독제비치 등 방역지침을 준수바랍니다. ",경상북도 영주시
39258,안내,개인방역수칙,"[경상북도청] 도민들께서는 불요불급한 외출과 모임, 다중이용시설 이용을 자제해 주시고 외출시에는,마스크 착용, 손씻기,거리두기 등 방역수칙을 지켜주시기 바랍니다. ",경상북도 전체
39261,안내,개인방역수칙,"[중앙재난안전대책본부] 코로나19, 어르신들에게 더 치명적입니다. 어르신들을 뵙거나 계신곳 방문시에는 증상여부를 점검하고, 방역수칙을 꼭 준수 바랍니다. ","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시"
39262,안내,발생현황,"[순창군청]어제 광주에서 코로나 확진자22명발생. 군민들께서는 광주등 타지역 방문을 자제하고 마스크쓰기, 손씻기, 건강거리두기 등 방역수칙준수 당부드립니다. ",전라북도 순창군
39263,안내,발생현황,"[고흥군청] 광주ㆍ전남권 코로나 확진자가 지속 발생하고 있으니 타지역 방문, 모임, 행사참석을 자제하고 외출시 반드시 마스크를 착용하여 주시기 바랍니다. ",전라남도 고흥군
39267,안내,발생현황,"[남원시]어제 광주에서 코로나19 확진자 22명 발생, 시민들께서는 광주 등 타지역 방문을 자제하여 주시고, 마스크쓰기 손씻기 등 방역수칙을 준수 바랍니다 ",전라북도 남원시
39268,안내,발생현황,"[함평군청]광주에서 계속적으로 확진자가 다수 발생하고 있습니다. 타지역 방문 및 소규모 모임을 자제하고, 외출 시에는 마스크를 착용해주시기 바랍니다. ",전라남도 함평군
39270,안내,발생현황,"[보성군] 최근 광주지역 코로나19 확진환자 다수발생, 각종모임, 장례식장, 결혼식장 등 방문을 자제하시고 마스크 착용 등 방역수칙을 준수하시기 바랍니다. ",전라남도 보성군
39279,안내,행정안내,"[여수시청]현재 광주지역은 코로나19 확산으로 인한 사회적거리두기가 2단계로 격상(7.1~)되었습니다.타지역방문ㆍ모임을 자제하시고 외출시 ""꼭"" 마스크착용바랍니다 ",전라남도 여수시
39282,안내,개인방역수칙,"[장성군청]군민께서는 마스크 착용, 손씻기 등 방역수칙 준수, 밀폐된 시설 방문과 각종 모임을 자제해 주시기 바랍니다. ",전라남도 장성군
39295,안내,발생현황,"[영광군청] 광주,목포지역에서 확진자가 다수 발생했습니다. 6.22.~6.30.기간 중 목포,화순전대병원,광주 광륵사,금양오피스텔,해피뷰병원,광주사랑교회, ",전라남도 영광군
39306,안내,개인방역수칙,"[태안군청] 코로나19 예방 위해 마스크 착용, 손 씻기 등 방역수칙 준수, 밀폐된 시설 방문과 각종 모임, 행사 참석을 자제하여 주시기 바랍니다. ",충청남도 태안군
39308,안내,발생현황,"[신안군청]코로나19 확진자 급증으로 타지역 외출을 자제하시고 특히 장례식장, 예식장 등 다중이용시설 방문자제와 마스크 착용 및 생활 속 거리두기 실천 바랍니다. ",전라남도 신안군
39311,안내,발생현황,"[서산시청] 최근 방문판매업 등을 통한 타지역 코로나19 확진자 발생 증가, 예방수칙 준수 철저, 미등록 방문판매처(다단계 등)신고해 주시기 바랍니다. ",충청남도 서산시
39312,안내,발생현황,"[김해시청]최근 광주지역 코로나 확진자가 계속적으로 발생하고 있습니다. 시민들께서는 광주 등 확진자 발생지역 방문을 자제하여 주시고, 외출시 마스크 반드시 착용! ",경상남도 김해시
39313,안내,개인방역수칙,"[중대본] 자가격리 동거인 생활수칙 준수/격리자와 독립생활(특히 가족,타인과 접촉제한), 자주소독 및 환기, 생활용품 구분사용, 증상발현시 관할보건소로 신고 ","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시"
39314,안내,행정안내,"[전남도청] 지난 5월 도내 체류 외국인의 코로나19 방역실태 일제점검 하였고, 7월 중에는 외국인 고용사업장 방역실태 및 노동인권조사를 실시하니 협조바랍니다. ",전라남도 전체
39316,안내,발생현황,"[광양시청] 최근 광주확진자가 급증하고 있으니 가급적 방문을 자제하여 주시고 불가피한 방문 시 마스크 착용, 의심 증상이 있을 경우 보건소와 상담하시기 바랍니다. ",전라남도 광양시
39327,안내,발생현황,"[하동군청]광주 확진자 다수 발생, 방문 자제 요망, 불가피한 방문시 마스크 착용, 의심 증상이 있을 경우 보건소와 상담하시기 바랍니다. ",경상남도 하동군
39338,안내,발생현황,[남원시4] 최근 광주 코로나19 확진자와 관련한 위 시설 방문하신분은 남원시보건소(063-625-1339)로 반드시 연락바랍니다. ,전라북도 남원시
39347,안내,발생현황,"[진도군청]광주,전남지역 감염확산. 타지역·예식장·장례식장·3밀(밀집·밀접·밀폐)시설 방문을 자제하시고 마스크 착용 등 방역수칙을 준수하시기 바랍니다. ",전라남도 진도군
39365,안내,발생현황,"[해남군청]최근 광주 확진자가 급증하고 있으니, 가급적 광주 방문을 자제하여 주시고 불가피한 방문 시 마스크 착용 등 생활방역수칙을 준수하여 주시기 바랍니다. ",전라남도 해남군
39366,안내,발생현황,"[익산시청] 광주등 인근지역 환자 다수 발생, 위험지역 및 시설 방문자제, 마스크 필수착용, 올바른 손씻기 생활화로 나와 내가족, 이웃을 보호합시다. ",전라북도 익산시
39369,안내,발생현황,[정읍시청2] 인근 광주시 등에서 코로나19 확진자가 많이 발생하고 있으니 필히 마스크착용과 위생안전수칙을 철저히 지켜주시기 바랍니다. ,전라북도 정읍시
39370,안내,발생현황,"[논산시청]최근 확진자발생 관련, 의료기체험장, 장례식장 등 사람이 많이 모이는 곳 방문하지 않기. 외출시 외부인과의 접촉을 피하고 반드시 마스크착용바랍니다. ",충청남도 논산시
39372,안내,발생현황,"[청양군청] 대전 등 인근지역 환자 다수 발생, 위험지역 및 시설 방문자제, 마스크 필수착용, 올바른 손씻기 생활화로 나와 내가족, 이웃을 보호합시다. ",충청남도 청양군
39375,안내,발생현황,[경상북도청] 코로나19가 다양한 경로로 확산되고 있습니다 ①마스크 착용 철저 ②손씻기 철저 ③식당에서 자리 띄워 앉기 등 방역 수칙을 준수하여 주시기 바랍니다. ,경상북도 전체
39376,안내,발생현황,"[구례군청] 광주,전남지역 감염확산 중이니, 타지역·예식장·방문판매·3밀(밀집·밀접·밀폐)시설 방문을 자제하시고 마스크 착용 등 방역수칙을 준수하시기 바랍니다. ",전라남도 구례군
39380,안내,행정안내,"[구례군청] 7.3.(금)부터 대중교통 종사자 및 탑승객에 대하여 마스크 착용 의무화 행정조치 명령을 발령하였으니, 대중교통 이용 시 마스크 착용 바랍니다. ",전라남도 구례군
39381,안내,발생현황,"[함평군청] 광주에서 계속적으로 확진자가 다수 발생하고 있습니다. 주말 야외 외출 및 다중이용시설 이용을 자제하고, 외출 시 마스크를 꼭 착용해 주시기 바랍니다. ",전라남도 함평군
39383,안내,발생현황,"[영주시청] 대구 등 전국적으로 확진자 확산 추세. 타지역 방문 및 각종 모임을 자제하여 주시고 마스크 착용, 손씻기 등 방역수칙을 준수하시기 바랍니다. ",경상북도 영주시
39384,안내,발생현황,"[완도군청] 광주,전남지역 감염확산 중이니, 타지역·예식장·방문판매·3밀(밀집·밀접·밀폐)시설 방문을 자제하시고 마스크 착용 등 방역수칙을 준수하시기 바랍니다. ",전라남도 완도군
39386,안내,발생현황,"[의성군청]코로나19 지역감염이 전국으로 확산되고 있습니다. 밀폐된시설에서 종교모임 등 모임을 자제해 주시고, 외출시 마스크 착용,손씻기 등 방역수칙 준수바랍니다 ",경상북도 의성군
39387,안내,발생현황,[중앙재난안전대책본부] 최근 유흥시설 등 밀폐·밀집·밀접 접촉을 일으키는 시설에서 코로나19 감염이 지속되고 있습니다. 방문 자제와 기본 위생수칙을 꼭 지켜주세요 ,"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시"
39388,안내,발생현황,"[임실군청]대전,광주 지역에 코로나19가 확산됨에 따라, 인근지역 방문을 자제해주시고, 거리두기·마스크착용·손씻기 등 방역수칙을 꼭 준수바랍니다. ",전라북도 임실군
39389,안내,발생현황,[순창군청]인접 광주지역에서 코로나19 추가 확진자 발생. 감염병 예방의 시작과 끝은 마스크 착용입니다. 나와 가족의 감염예방을 위해 꼭 마스크 착용바랍니다. ,전라북도 순창군
39391,안내,발생현황,"[해남군청] 최근 광주 코로나19 확산에 따라 군민여러분께서는 소규모모임 및 다중이용시설 방문을 자제하시고, 일상생활에서도 필히 마스크를 착용해 주시기 바랍니다. ",전라남도 해남군
39396,안내,행정안내,"[거창군보건소] 매주 금요일은 방역의 날입니다. 내 주변, 공동활용 공간 살균 소독에 참여하여 코로나19감염증을 이겨냅시다. ",경상남도 거창군
39397,안내,발생현황,"[부여군청]전국적으로 코로나19 감염 재확산.종교시설,다중이용시설,3밀(밀집·밀접·밀폐)시설 등 방문을 자제하시고 마스크 착용,손씻기 등 방역수칙을 준수바랍니다. ",충청남도 부여군
39399,안내,발생현황,"[여수시청]코로나19가 다시 전국적으로 확산중입니다. 주말동안 타지역ㆍ다중이용시설 방문,모임을 자제하시고 불요불급할 경우 방문시간 최소화 및 꼭 마스크착용바랍니다 ",전라남도 여수시
39402,안내,개인방역수칙,"[고창군청]군청홈페이지 및 안내문자로 게시하겠습니다. 마스크 착용, 손씻기 등 방역수칙 준수 및 모임을 최대한 자제하여 주시기 바랍니다 ",전라북도 고창군
39403,안내,행정안내,"[목포시청] 코로나19 감염 확산 방지를 위해 7월 3일부로 실내 50인 이상, 실외 100인 이상 모든 집합ㆍ모임ㆍ행사 제한 행정조치를 시행하였습니다 ",전라남도 목포시
39406,안내,발생현황,"[서천군청]현재 전국에서 코로나-19 확진자 발생, 주말 타 지역 방문자제하여 주시고 부득이 방문 시 마스크 착용 및 방역수칙 준수바랍니다. ",충청남도 서천군
39409,안내,발생현황,"[완주군청]최근 방문판매업소, 종교시설, 소규모 모임 등에서 코로나19 감염이 지속 발생되고 있습니다. 주말과 휴가철 단체 활동(수련회 등) 및 모임자제바랍니다. ",전라북도 완주군
39411,안내,발생현황,"[강진군청]광주지역 코로나 감염 확산 중으로, 타지역·예식장·방문판매·3밀(밀집·밀접·밀폐)시설 방문을 자제하시고 외출시 마스크 착용을 의무화해 주시기 바랍니다. ",전라남도 강진군
39412,안내,행정안내,[군산시청] 7/1부터 유흥.단란주점.노래연습장.뷔페식당 등 전자출입명부 의무적용 시행. 업소 출입시 QR코드를 사용하여 우리 지역 코로나19 감염을 차단합시다. ,전라북도 군산시
39413,안내,발생현황,"[전라북도청]최근 충청권,광주권에서 경로를 알 수 없는 코로나19감염이 심각한 상태입니다. 도민들께서는 해당 지역을 불가피하게 방문시 반드시 마스크 착용바랍니다. ",전라북도 전체
39414,안내,발생현황,"[익산시청] 고창, 광주, 대전 등 인근지역 코로나19 감염 지속발생으로 발생지역 방문을 자제해 주시기 바랍니다. 종교시설, 소규모모임, 방문판매업소 방문 자제 ",전라북도 익산시
39416,안내,행정안내,[대구시]밀접접촉이 많은 학원(연기/무용/보컬/댄스/음악/화술 등)에 대해 집합제한 조치 실시. 방역수칙 위반시 시설폐쇄. 손씻기/마스크쓰기 등을 꼭 준수합시다. ,대구광역시 전체
39417,안내,발생현황,"[장흥군청] 최근 광주지역 코로나19 확진자 다수 발생. 애경사 참석 자제, 3밀(밀폐,밀접,밀집)장소 피하기 및 상시 마스크 착용 등 개인위생수칙 준수바랍니다. ",전라남도 장흥군
39418,안내,발생현황,"[창녕군청]코로나19 지역감염이 전국적으로 확산되는 엄중한상황입니다. 밀폐·다중이용시설방문,종교모임,소모임 자제. 외출시 마스크착용 등 생활방역수칙 준수바랍니다. ",경상남도 창녕군
39420,안내,개인방역수칙,[화순군청] 마스크 착용 등 기본위생수칙 준수 및 종교시설 등 소규모 모임 자제를 철저히 지켜주시기 바랍니다. ,전라남도 화순군
39423,안내,발생현황,"[고흥군청]코로나19가 다시 확산되고 있습니다. 주말동안 타지역 방문 및 모임을 자제하여 주시기 바라며, 외출시에는 반드시 마스크를 착용하여 주시기 바랍니다. ",전라남도 고흥군
39427,안내,발생현황,"[진도군청] 최근 같은 생활권인 광주,목포지역 확진자 급격히 증가로 매우 심각한 상황. 군민께서는 타지역 외출을 자제하시고 반드시 마스크를 착용하시기 바랍니다. ",전라남도 진도군
39432,안내,발생현황,"[김천시청] 코로나19, 최근 광주, 대구 지역에 확진자 다수 발생, 밀폐· 밀집장소 등에는 출입을 자제하여 주시고, 마스크착용 및 개인위생수칙을 준수바랍니다. ",경상북도 김천시
39440,안내,발생현황,[순천시청] 광주지역 코로나 감염이 지속 발생하고 있으니 ① 타지역 방문 자제 ② 행사·방문판매·투자 설명회 등 모임자제 ③ 밀폐·밀집·밀접 장소에 가지 않기 ,전라남도 순천시
39441,안내,발생현황,[순천시청] ④ 발열·인후통·감기증상 시 보건소 상담 ⑤ 대중교통 이용 등 외출 시 마스크 착용 생활화(사례 : 확진자와 접촉하였으나 마스크 착용으로 음성 판정) ,전라남도 순천시
39442,안내,발생현황,"[완도군청] 코로나19가 인근지역에서 감염이 확산되고 있으니 군민들께서는 7월 5일 ""전통시장"" 방문 시 꼭 마스크를 착용, 손씻기 등 방역수칙을 준수바랍니다. ",전라남도 완도군
39444,안내,개인방역수칙,"[의정부시청]주말 종교시설,예식장에서 마스크 착용 손씻기 등 방역수칙을 준수하고 밀폐된 시설에서 종교 소모임 등 각종모임을 자제해 주시기 바랍니다. ",경기도 의정부시
39445,안내,발생현황,[부안군청1] 최근 도내 인근지역에서 코로나19 확진자가 꾸준히 발생하고 있으니 군민께서는 확진자 발생지역 방문을 자제하여 주시기 바랍니다. ,전라북도 부안군
39446,안내,개인방역수칙,"[부안군청2] 특히 유흥시설, 방문판매점, 종교활동 등 밀폐공간 모임자제, 마스크착용 등 개인방역수칙을 철저히 준수하여 청정부안 가꾸기에 동참하여 주시기바랍니다. ",전라북도 부안군
39451,안내,발생현황,"[함양군청] 인근지역 광주, 대구 코로나19 확진자 발생, 군민들께서는 타지역 방문을 자제하여 주시고, 마스크 쓰기, 손씻기 등 기본 위생수칙을 준수하여주세요. ",경상남도 함양군
39453,안내,개인방역수칙,"[함평군청]대중교통 이용시 마스크를 꼭 착용하여 주시기 바라며, 3밀(밀폐, 밀접, 밀접)장소에 가지 마시고, 발열 등 감기증상 발현시 보건소에 상담바랍니다. ",전라남도 함평군
39455,안내,발생현황,[충북도청]수도권 및 대전·충남·세종 등 코로나 감염세가 확산되고 있습니다. 도민들께서는 발생지역 방문자제 및 마스크 착용 등 방역수칙을 준수하여 주시기 바랍니다 ,충청북도 전체
39463,안내,발생현황,"[전남도청] 최근 광주에서 확진자가 지속 발생하고 있습니다. 결혼식장·장례식장 방문이나, 종교 소모임 등 참여는 최대한 자제하시고, 외출시 꼭 마스크 착용바랍니다 ",전라남도 전체
39468,안내,개인방역수칙,[순천시청]주말을 맞아 코로나를 막기 위해 시민 여러분께서는 다음사항 이행에 적극적인 협조 당부드립니다 1. 광주 등 타지역 방문 자제 2. 반드시 마스크 착용 ,전라남도 순천시
39469,안내,행정안내,"[순천시청]3. 예식장,장례식장 등 밀집·밀접시설 방문자제 4. 소모임,술자리 등 밀폐된 장소 방문 않기 5. 의심 증상 있을 시 보건소 상담 및 출근 하지 않기 ",전라남도 순천시
39474,안내,개인방역수칙,"[안산시청]주말 타지역 밀폐된 공간에서의 행사,예배,모임 등을 자제해 주시고 사회적 거리두기, 마스크 착용 등 개인방역수칙을 준수하여 주시기 바랍니다 -안산시장- ",경기도 안산시
39485,안내,개인방역수칙,"[광명시청] 주말 코로나19 예방을 위해 고위험 시설, 밀접접촉이 잦은 취약시설 방문자제, 손씻기, 마스크 착용, 거리두기 등 개인방역수칙을 철저히 준수바랍니다. ",경기도 광명시
39509,안내,개인방역수칙,"[영주시청]코로나19 예방을 위해, 타지역, 종교행사, 밀폐·밀집·밀접시설 등 위험지역·시설 방문을 자제해 주시고, 항상 마스크 착용과 손씻기를 당부드립니다. ",경상북도 영주시
39511,안내,개인방역수칙,"[김해시청] 음식점은 ①손소독제 비치 ②개별용기 음식제공 ③종사자 마스크 착용하시고, 이용자는 ①식사 전·후 마스크 착용 ②띄어 앉기 ③음식 덜어먹기 실천바랍니다 ",경상남도 김해시
39514,안내,발생현황,"[담양군청] 인근 광주에서 확진자가 급증함에 따라 모임, 외출을 최대한 자제하시고 마스크착용, 2m거리두기, 손씻기 등 개인수칙 준수바랍니다. ",전라남도 담양군
39518,안내,발생현황,"[장흥군청] 최근 인근지역 코로나19 확진자 다수발생. ①광주, 수도권 등 타지역 방문자제 ②반드시 마스크 착용 ③예식장, 장례식장 등 다중밀집,밀접장소 방문자제 ",전라남도 장흥군
39519,안내,개인방역수칙,"[장흥군청] ④소모임, 술자리 등 밀폐된 장소 방문 자제 ⑤의심 증상이 있을 경우 장흥군보건소(061-860-6481)로 연락바랍니다. ",전라남도 장흥군
39521,안내,개인방역수칙,"[옥천군청] 코로나19 확산방지를 위해 생활속 거리두기(각종행사·모임자제, 사람 많은 곳 방문자제, 종교행사 자제 등), 개인위생을 철저히 하여 주시기 바랍니다. ",충청북도 옥천군
39522,안내,개인방역수칙,[중앙재난안전대책본부]주말 외식할 때 ①아프면 가지 않기 ②마스크/손위생은 기본 ③개인접시에 덜어먹기 ④식사중 침방울이 튀지않도록 대화 자제하기 등을 실천바랍니다 ,"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시"
39525,안내,개인방역수칙,"[봉화군청]휴일 종교예배, 소규모행사, 다중밀집접촉시설 이용시 마스크착용으로 생활 속 거리두기 동참해요~! 유증상시 보건소(679-5070~3)로 문의 바랍니다. ",경상북도 봉화군
39526,안내,개인방역수칙,"[경상북도청] 유흥주점, 노래연습장 등 ""고위험시설"" 방문자제와 외출시에는 마스크착용은 필수, 손씻기, 거리두기 등 방역수칙을 지켜 주시기 바랍니다. ",경상북도 전체
39529,안내,개인방역수칙,"[태안군청] 주말 밀집·밀접·밀폐된 시설 방문 자제 및 방역수칙 준수 당부. - 코로나19 예방을 위해 해수욕장 입구(만리포,몽산포) 발열체크 협조 부탁드립니다. ",충청남도 태안군
39530,안내,발생현황,"[해남군청] 광주에서 계속적으로 확진자가 다수 발생. 주말 야외 외출 및 결혼식장 등 다중이용시설 이용을 자제하고, 외출 시 마스크를 꼭 착용해 주시기 바랍니다. ",전라남도 해남군
39531,안내,발생현황,"[구례군청]최근 광주에서 코로나19 감염자가 지속 발생하고 있습니다. 군민께서는 광주등 타지역 방문자제, 종교행사 자제, 마스크 착용 생활화하여 주시기 바랍니다. ",전라남도 구례군
39534,안내,발생현황,"[순창군청]광주 코로나19 확진자 지속발생, 군민들께서는 주말 종교시설, 예식장, 장례식장, 다중밀집시설 방문을 자제하고 마스크착용등 개인위생수칙 준수바랍니다. ",전라북도 순창군
39538,안내,개인방역수칙,"[여주시청] 코로나19 예방을 위해 주말행사, 예배, 모임 등을 자제해 주시고, 마스크 착용 등 개인방역수칙을 꼭 준수하여 주시기 바랍니다. ",경기도 여주시
39541,안내,발생현황,"[하동군청]통영 첫 확진자 발생, 코로나19 확진자 지속 발생 중, 군민께서는 타지역 방문을 자제하시고, 외출시 꼭 마스크 착용 바랍니다. ",경상남도 하동군
