	MESSAGE	CATEGORY
3778	[고양시청]코로나19 확진자4명 발생 ▶248~251번(백석·성사·행신·관산동 거주) [홈페이지] https://han.gl/iMmgw 참조 바랍니다. 	2
21096	[계양구청] 계양구 코로나19 확진환자 1명 발생. 역학조사 완료 방역 중. blog.naver.com/gyeyang_gu 	2
1613	[광진구청] 거리두기 2단계 격상(8.16~29)!! 외출·모임·다중이용시설 이용 자제 종교활동 정규예배외 금지 접촉은 최소화 대화시 반드시 마스크 착용 	1
22061	[동작구청]1255,1256번째 확진자(2명)발생(완치자1,183명), 홈페이지및블로그 등 확인해주시기바랍니다. blog.naver.com/dongjaksaran 	2
9453	[이천시청]이천시75번 확진자(성남시 거주) 이천생활치료센터 성남시확진자 동반입소 중 확진판정. 생활방역수칙을 준수하여 주시기 바랍니다.(031-644-4036) 	2
12730	[경주시청]151~153번 확진자 발생(145번 확진자 접촉자) 역학조사 진행중이며, 상세내용은 파악되는 즉시 공개하겠습니다.(마스크 착용 등 방역수칙준수) 	2
1173	[보성군] 음식점,카페에서 ▶식사 전 손씻기 ▶식사 전·후 마스크 착용 ▶공용집게로 덜어먹기 ▶가급적 대화자제 ▶거리두기 등 방역수칙을 철저하게 잘 지켜주세요. 	1
11816	[대전광역시] 8명 추가 확진. 600~605번(동구1, 서구3, 유성2, 확진자 접촉), 606~607번(유성, 서구, 조사중) 방문장소는 추후 공개예정. 	2
17698	[광명시청] 확진자 6명 발생(기 확진자와 접촉 5명) 격리병원이송예정,주거지 등 방역예정, 블로그공개 blog.naver.com/gmcityhall 	2
18543	[서초구청]1005~1009번 확진자(5명)발생. 상세내용 홈페이지(seocho.go.kr)확인. 모임자제, 마스크 착용, 주기적 환기 등 방역수칙 준수바랍니다. 	2
19130	[강북구청]확진자2명(684~685번)발생, 동선( www.gangbuk.go.kr/intro_gb.jsp )공개예정. 설명절 비대면으로 부모님 건강 지켜드립시다 	2
12633	[남원시] 최근2주 이내 익산시 열린문교회(남중동) 방문자 12/7(월)~11(금)경북경산시 열린문기도원(진량읍) 부흥회 참석자 즉시 보건소 선별검사 바랍니다. 	0
13476	[대전광역시] 12명 추가 확진. 721~730번(동구), 731~732번(유성구) 기 확진자 관련으로 방문장소는 추후 공개예정. 	2
14610	[김해시청] 김해 154번 확진자 발생(진해구 거주자로 부산확진자의 접촉자)/ 이동동선 확인중 	2
13984	[성남시청] 12월 25일 12명(수정구 5, 중원구 1, 분당구 4, 타지역 2) 추가 발생하였습니다. corona.seongnam.go.kr 	2
4539	[강릉시청]금일 정오부터 9.13까지 사회적거리두기 2.5단계 발령과 실내외 마스크 쓰기 의무화 행정명령 발동을 알려드립니다. 자세한 내용은 홈페이지 참조바랍니다 	1
815	[금천구청]38번째 확진자 발생(독산1동, 자가격리중 확진, 동거가족 없음), 지정병원 이송 예정, 금천구 카카오톡 채널 pf.kakao.com/_hUpLxb 	2
2093	[김천시청] ② 수도권 지역의 확진자가 급증함에 따라 수도권 방문자제 및 각종 모임, 집합 종교활동 등 대민접촉을 피하여 주시고 	1
17754	[중랑구청] 1.27.(수) 확진자 4명(984~987번)발생. 역학조사 진행 중. 완료 즉시 홈페이지 공개예정입니다. 	2
10832	[김천시청] 코로나19, 주말 타지역 방문이나 외출· 모임 등은 자제하여 주시고, 손씻기, 마스크 착용 등 방역수칙을 준수하여 주시기 바랍니다. 	1
3005	[동래구청]8.15집회 참가자 동래구 확진자 1명 발생. 마스크 착용 등 방역수칙 준수 바라며, 8.15 집회 참가자들은 동래구 보건소 연락바랍니다 	2
2009	[동해시청]8.15.광복절 집회, 8.7.~8.13.서울 사랑제일교회 방문자는 증상유무 관계없이 보건소 등 선별진료소에서 검사바랍니다.(033-530-2402) 	0
20223	[광주광역시]어제(22일) 확진자 7명(기발표3) 발생 1994 남구 1996 1997 광산구 거주자 1995 해외입국자입니다 https://c11.kr/lot7 	2
11802	[구례군청] 우리 모두의 안전을 위해 먹고 마실 땐 말없이, 말할 땐 마스크 쓰고! 마스크 착용이 가장 쉽고 확실한 방역입니다. 	1
22561	[무안군청] 대상자는 4월5일까지 읍면사무소의 접종동의서 접수에 협조하여 주시기 바랍니다.(읍면사무소 직접방문 또는 자택방문 시 협조) 	1
20329	[김포시청] 김포시 818번~829번 확진자 12명, 김포거주 타시 확진자 1명, 2월 24일 발생/ 세부사항은 김포시블로그 참조 바랍니다. vo.la/3Qw61 	2
9790	[광주시청]확진자 2명(광주256번 초월읍1, 광주257번 용인시1)발생, 역학조사 후 확인 사항은 홈페이지에 공개하겠습니다. 	2
2097	[금정구청]서울 사랑제일교회(8.7~8.13), 경복궁역 집회(8.8), 광화문 집회(8.15) 참여자는 보건소 선별진료소에서 진단검사 받으시기 바랍니다. 	0
2061	[강릉시청]강릉 9번 확진자(썬크루즈호텔직원) 동선을 공개하였습니다. 접촉자 검사결과는 내일 통보 즉시 공개예정입니다. 033-660-3090 ~ 3094 	2
2933	[구로구청] 코로나19 확진자 4명(119~122번)발생, 상세정보는 구로구청 블로그(홈페이지) 참고 바랍니다. blog.naver.com/digital9ro 	2
8977	[강남구청] 확진자 7명(gangnam.go.kr). 11.5~11.17 선릉대림아크로텔(선릉로 524) 452~453호 방문자는 내일까지 강남구보건소 검사바람 	0
1492	[부산광역시청] 최근 코로나19 확진자가 증가하고 있습니다. 연휴기간 동안 관광지와 일상생활에서 거리두기와 마스크 착용을 반드시 지켜주시기 바랍니다. 	1
9139	[미추홀구청] 코로나19 확진자2명 발생(주안8동, 주안4동), 세부내용은 홈페이지 게시하였습니다. https://www.michuhol.go.kr/corona/ 	2
11702	[광양시청] 12.1.(화)~12.11.(금) 카톨릭대학교 서울성모병원(소재:서초구) 방문자는 선별진료소 검사 바랍니다. 	0
1835	[남구청] 8.17. 12시부터 사회적거리두기 2단계 시행중입니다. 고위험시설에서는 출입명부 작성하시고. 방역수칙 준수 및 다중이용시설 방문 자제하시기 바랍니다. 	1
14326	[밀양시청] 관내 모든 해맞이 행사 취소, 코로나를 이겨내고 우리의 일상을 되찻는 새해를 기원하며 올해는 집에서 안전한 새해를 맞아주세요. 	1
15625	[보은군청] 혜민의원 관련 보은군보건소 방문하여 검사하신분 모두 음성입니다. 방역수칙을 준수하여 주시기 바랍니다. 	1
18588	[부산시] 2.5(금) 부산 코로나19 신규확진자 15명(영도1,동래2,금정3,요양원7,의료기관2(요양1,병원1))입니다. 	2
15197	[고창군청3]유흥시설5종 집합금지/노래방 21시이후 운영중단/식당 21시 이후 포장 배달만 허용/카페 영업시간 전체 포장 배달만 허용 등 방역수칙 준수 바랍니다. 	1
19005	[부산시]2.5.(금) 18:30 이후 백화양곱창(중구 자갈치로23번길 6(남포동6가)) 방문자는 인근 보건소에 상담 바랍니다.(소독완료) 	0
11835	[부산시]12.5(토)~12.9(수) 벽산명품세탁소(사하구 하신중앙로 265 가락타운 3단지 상가 1층) 방문자는 인근 보건소에 상담바랍니다. 	0
19934	[보령시청]2.14.16:00~20:30,2.15.21:11~2.16.01:00위너스존PC방을 방문하신 분은 금일19시까지 보건소선별진료소에서 검사바랍니다. 	0
15613	[부천시청] 20.12.11.(금)~21.1.3.(일) 상주BTJ열방센터(경북 상주시) 방문자는 증상 유무에 관계없이 주소지 선별진료소에서 코로나검사 바랍니다. 	0
1479	[동두천시청]8.15.(토) 동두천시 8번 확진자 발생(70대, 생연2동),성북구 교회 관련, 상세 이동경로는 역학조사 진행 중으로 추후 홈페이지 공개예정입니다. 	2
22256	[거제시청] 코로나19 확진자 2명 발생(거제412~413번) / 역학조사 및 이동동선 파악중 / 마스크착용 등 방역수칙 준수바랍니다. 	2
15631	[수원시청] 장안구 6명, 권선구 3명, 팔달구 1명, 영통구 1명, 관외거주자 1명 확진자 발생. 동선은 역학조사 후 SNS 및 홈페이지에 공개하겠습니다. 	2
19304	[보성군②] ▶식당·카페,실내체육시설,노래연습장 등 다중이용시설 운영시간 제한 해제 ▶종교활동30%이내 허용 ▶마스크착용 등 방역수칙 준수 협조바랍니다. 	1
5344	[광양시청] 9/10(목) 21:00~9/12(토) 11:00 진도 소노호텔리조트 방문하신분은 가까운 선별진료소에서 상담하여 주시기 바랍니다. 	0
16466	[대전광역시] 1명 추가 확진. 940번(유성구, 역학조사 중) 확진자 방문장소는 홈페이지에 공개예정입니다. 	2
17145	[밀양시청] 확진자 3명발생 밀양56~57번(김해223번 접촉자),58번(밀양54,55번 접촉자),현재 심층역학조사 및 방역소독 진행중입니다. 	2
10026	[강동구청] 11.28.(토) 18시 기준 코로나19 확진자 1명 발생, 세부 내용은 홈페이지(c19.gd.go.kr) 참고해 주시기 바랍니다. 	2
10803	[대전광역시] 6명 추가 확진. 540~542번(서울 동작구 350, 357번 접촉), 543~545번(조사중) 확진자 방문장소는 파악 후 공개예정입니다. 	2
6738	[예산군청] 불필요한 외출·모임은 자제해 주시고, 부득이 외출할땐 감염병예방에 가장 좋은 백신 마스크 착용 생활화로 코로나19 확산차단에 적극 동참해주세요! 	1
15319	[의정부시청] 코로나19 확진자 5명 발생(703~707번) 동선 등은 시 홈페이지 및 블로그 공개예정, https://c11.kr/joao 참고 바랍니다. 	2
20771	[광주시청]관내 확진자 3명 발생. 홈페이지(corona.gjcity.go.kr) 참조하시기 바랍니다. 	2
5581	[부산진구청]죽이야기 전포점(부산진구동성로140,1층전포동)9.5.(토)~9.16.(수) 방문자는 가까운 주소지 보건소방문상담바랍니다 	0
15043	[담양군청]11~12월중 경북 상주시 소재 BTJ열방센터, 울산인터콥을 방문하신 분은 증상유무 관계없이 주소지 관할보건소에서 검사 받으시기 바랍니다. 	0
11271	[강북구청]춤, 노래교실, 공연장 등을 통한 감염자가 폭증하고 있습니다. 해당장소 방문을 자제하여 주시고 거리두기(2.5단계)방역수칙을 준수하여 주시기 바랍니다. 	1
22180	[경주시청]236번 확진자(타지역확진자접촉)발생, 역학조사 진행중이며, 상세내용은 파악되는 즉시 공개예정입니다. 	2
14699	[구리시청]확진자 4명(사우나관련 1명) 발생. 12.26~12.28 상떼빌사우나 남탕 방문자는 진단검사 받으시기 바랍니다 eguri.kr/222190652162 	2
17960	[김해시청] 김해 236번 확진자 발생 / 확진자 가족으로 확진자와 동반입원 중 해제 전 검사에서 확진 (동선 없음) 	2
13060	[사천시청]확진자 1명 추가발생(사천53번)▲확진자의 접촉자▲마산의료원 이송▲역학조사 및 접촉자 파악 중▲방역진행중입니다. 	2
4568	[서대문구청] 코로나19. 102번째 확진자 발생. 역학조사중. 자세한 사항 추후 구홈페이지, 블로그 공개 예정입니다 blog.naver.com/sdmstory 	2
11632	[사천시청](타지역 확진자 동선)12.1.(화), 12.2.(수) 10:30~11:10 서포할매콩나물국밥집 방문자는 보건소로 연락바람(055-831-3620~6) 	0
11174	[거창군청]12. 8.(화) 0시부터 12. 28.(월) 24시까지 사회적 거리두기 2단계 격상. 변경되는 방역수칙을 준수바라며, 특히 마스크 상시 착용바랍니다. 	1
16491	[여주시청] 172번 확진자 발생. 역학조사 및 방역조치 중입니다. 5인부터 사적모임 금지 및 마스크 착용, 거리두기 등 방역수칙을 준수하여 주시기 바랍니다. 	1
16465	[담양군청]개인방역 수칙 준수 바랍니다.▲마스크 착용 및 거리두기▲아프면 검사받고 집에 머물기▲손씻기▲최소 1일 3회이상 환기▲거리는 멀어도 마음은 가까이 	1
872	[광주광역시]오늘 확진자 9명 발생, 총200명입니다(192번 14시 공개함) 193번(50대,남)은 북구 운암동 한국아파트 거주자로 192번 접촉자입니다 	2
17386	[마포구청] 확진자 5명 발생. 역학조사 진행 중이며 상세 내용은 추후 홈페이지 및 블로그 참고바랍니다. blog.naver.com/prmapo77 	2
7395	[성남시청] 10.18일 확진자 1명 추가 발생(정자동), 상세내용 추후 시홈페이지에 공개예정입니다. corona.seongnam.go.kr 	2
1418	[부여군청]코로나19 확진자가 수도권에서 급증하고 있습니다. 수도권 방문 자제해주시고, 연휴 기간 마스크 착용·손씻기 등 생활방역수칙을 꼭 지켜 주시기 바랍니다. 	1
14946	[광주광역시]오늘(18시) 확진자 8명(기발표 4명)발생 총1106명 입니다. 1103 북구 1105 1106번 서구 거주자로 동선은 확인되는대로 안내하겠습니다 	2
12178	[부산시]12.10.(목)09:30~11:20 고용노동부 부산동부지청(부산 금정구 공단서로 12) 방문자는 인근 보건소에 상담 바랍니다.(소독완료) 	0
19974	[목포시청] 2/17(수) 19:30~22:00, 2/18(목) 19:30~21:30 국제축구센터 다목적체육관이용자는 보건소 선별진료소에서 검사받으시기 바랍니다. 	0
4137	[순창군청] 사회적 연대가 서로에게 백신이 됩니다. 거리두기 실천, 손 씻기, 마스크 착용, 모임과 행사 자제. 사회적 거리두기에 동참해주세요. 	1
13589	[봉화군청]코로나19 방역강화조치(12.24.~1.3.)알림▶종교활동시 비대면에배 전환, 모임·식사금지▶5인이상 식당 예약·동반입장 금지, 5인이상 식당 모임금지 	1
7863	[고양시청]코로나19확진자5명 발생▶472~474번(덕양구1,일산동구1,타지역1)▶타지역확진(일산서구2)[홈페이지]https://han.gl/iMmgw참조바랍니다 	2
18298	[남양주시청] 2.1.(월) 남양주시 주민 2명 코로나19 확진. 방역사항은 홈페이지 참고 바랍니다. c11.kr/nyjc 	2
10957	[도봉구청] 12. 6(일) 확진자 3명 발생(358~360번, 창2동, 창5동, 도봉2동). 역학조사결과 이동동선 및 조치사항 홈페이지 공개예정입니다. 	2
5971	[구례군청] 코로나19 예방 위해 추석 연휴 고향, 수도권 등 타지역 방문을 자제하시고, 전화(영상)로 안부묻기, 실내외 마스크를 반드시 착용 바랍니다. 	1
3886	[평택시청] 코로나19 88번째 확진자(20대 이충동) 29일 검사, 29일 확정, 역학조사후 동선등 상세내용은 홈페이지, SNS에 공개예정 	2
802	[신안군청]광주 확진자 관련하여 7.13~17 희망직업전문학교, 7.14 19:30~20:30 본 한방병원(운암동) 방문자는 신안군 보건소로 상담바랍니다. 	0
9571	[파주시청]코로나19 확진자1명(운정2동),교하동거주 타지역확진1명발생.동선조사후 vo.la/sStRC 공개예정.경각심을 늦추지말고 방역수칙 철저히 준수바랍니다. 	2
17031	[강진군청]마스크 쓰기를 실내.외에서 생활화.코로나 예방에는 마스크 착용이 가장 효과적,식당에서 식사중에는 말을 하지말고,식사후 마스크 착용하고 대화 바랍니다. 	1
7734	[곡성군청] 코로나로 인한 소득감소자중 중위소득 75%이내, 재산 3억원미만 가구는 11. 6.(금)까지 읍면사무소 및 복지로에서 위기가구 긴급생계지원 신청하세요 	1
12289	[미추홀구청]확진자3명발생(타구 확진자접촉자2, 확진자가족1), 방역소독예정, 세부내용 홈페이지게시 https://www.michuhol.go.kr/corona/ 	2
10442	[남원시] 남원의료원은 확진환자와 외래환자의 이동동선을 철저하게 구분하여 외래진료,건강검진,응급실,분만실,장례식장 등은 정상운영하고, 단 입원은 할수없습니다. 	1
14066	[고양시청]코로나19 확진자 12명 발생▶1329~1334번(일산동구5,일산서구1) ▶타지역 확진 고양시민6명 https://han.gl/iMmgw 참조바랍니다. 	2
7422	[광진구청]136번 발생 및 역학조사결과 알림. gwangjin.go.kr 확인 마스크착용의무화(망사형·밸브형마스크, 스카프 등은 마스크착용으로 인정하지 않음) 	2
10845	[금천구청]확진자 3명 발생, 연말연시 행사 및 모임 취소, 마스크 상시 착용, 사회적거리두기 준수, 카카오톡 채널 확인 pf.kakao.com/_hUpLxb 	2
6645	[부안군청] 종교시설은 비대면·온라인 개최, 각종 소모임 및 식사제공 금지, 마스크 착용, 거리두기 등 개인방역수칙을 준수하여 주시기 바랍니다. 	1
16298	[서천군청]경북 상주 BTJ열방센터 방문자 및 충남 BTJ모임 참여자는 증상유무 관계없이 1.16(토)까지 보건소선별진료소 방문하여 코로나진단검사받으시기바랍니다. 	0
19658	[남해군청]남해7번 확진자 이동 동선▶남해읍 법흥사 포교당 대웅전, 종무소▶2.14(일)08:30~10시까지 방문자는 가까운 선별진료소에서 검사받으시기 바랍니다. 	0
20121	[수원시청] 영통구 2명, 관외거주자 1명 확진자 발생. 자택 및 주변 소독 예정, 동선은 역학조사 후 SNS 및 홈페이지에 공개하겠습니다. 	2
10176	[부산시]11.30[월]11시 기준 부산 코로나 신규확진자26명[해운대구9,동래구9,북구3,부산진1,남구1,사하구1,동구1,서구1]입니다. 방역수칙준수바랍니다. 	2
17628	[중대본] 느슨해지면 그간의 노력이 허사가 될 수 있습니다. 직장, 다중이용시설 등에서 마스크 착용, 손소독, 거리두기 등 기본수칙을 꼭 준수해 주시기 바랍니다 	1
250	[광명시청] 코로나19 예방을 위하여 종교시설, 소규모 모임 등 고위험 방역 취약시설 방문자제하고. 마스크착용, 손씻기, 거리두기 등 개인방역수칙 준수 바랍니다. 	1
13123	[동작구청]653~660번째 확진자(완치자 418명)발생,상세내용 홈페이지 및 블로그 등 확인해 주시기바랍니다. blog.naver.com/dongjaksaran 	2
12410	[미추홀구청]추가확진자 4명발생(유증상1,확진자접촉1,타지역접촉2),방역소독예정,세부내용홈페이지게시 https://www.michuhol.go.kr/corona/ 	2
6536	[중대본] 남은 연휴에도 친목모임을 자제하고, 안전한 집에서 충분한 휴식을 취해주세요. 사람 간 만남, 접촉이 줄어들면 바이러스 이동을 막을 수 있습니다. 	1
7721	[부천시청] 코로나19 확진자 2명 발생[원종동 1명, 범박동 1명] 자택 및 인근지역 방역소독실시예정 blog.naver.com/bucheon-city 	2
15314	[동해시청] 158번 확진자 발생(자가격리 중 중간검사에서 확진), 5명부터 사적 모임 금지 등 거리두기 2단계 방역조치 이행에 협조 바랍니다. 	2
16326	[수원시청] 권선구 4명, 영통구 1명, 관외거주자 1명 확진자 발생. 자택 및 주변 소독 예정, 동선은 역학조사 후 SNS 및 홈페이지에 공개하겠습니다. 	2
